aUrlId,pId,aId,aName
114606214,p2126,a8991,Jessica Miniaci
39858291,p2126,a8992,M. Clements
1401280000,p2126,a8993,M. Gebremedhin
2112460993,p2126,a8994,Natalie Guo
48379623,p2126,a8995,Y. Zhang
40492208,p2126,a8996,G. Duggan
34154261,p2126,a8997,Glen D. MacInnis
115331555,p2126,a8998,Alim M. Weljie
2950252,p2126,a8999,R. Dowlatabadi
2091283,p2126,a9000,F. Bamforth
2081717772,p2126,a9001,D. Clive
2154883669,p2126,a9002,Liang Li
2068371402,p2126,a9003,T. Marrie
1757716,p2126,a9004,B. Sykes
40477927,p2126,a9005,H. Vogel
2102704570,p2126,a9006,Lori Querengesser
3207894,p2127,a9007,H. Rammensee
12096194,p2127,a9008,J. Bachmann
4497860,p2127,a9009,N. Emmerich
15980271,p2127,a9010,O. A. Bachor
2031565,p2127,a9011,S. Stevanović
143962122,p2128,a9012,J. Corbett
49959210,p2128,a9013,J. Dean
2041535246,p2128,a9014,Michael Epstein
3056963,p2128,a9015,Andrew Fikes
2064471306,p2128,a9016,Christopher Frost
24918521,p2128,a9017,J. Furman
1780892,p2128,a9018,S. Ghemawat
144267830,p2128,a9019,Andrey Gubarev
51425828,p2128,a9020,Christopher Heiser
143860536,p2128,a9021,P. Hochschild
35087612,p2128,a9022,Wilson C. Hsieh
39140636,p2128,a9023,Sebastian Kanthak
2063031994,p2128,a9024,Eugene Kogan
2115264129,p2128,a9025,Hongyi Li
144348389,p2128,a9026,Alexander Lloyd
143973671,p2128,a9027,S. Melnik
51345432,p2128,a9028,David Mwaura
46568282,p2128,a9029,D. Nagle
145062645,p2128,a9030,Sean Quinlan
2069605776,p2128,a9031,Rajesh Rao
51390919,p2128,a9032,Lindsay Rolig
153304144,p2128,a9033,Yasushi Saito
2228557,p2128,a9034,M. Szymaniak
2115490429,p2128,a9035,Christopher Taylor
2041534390,p2128,a9036,Ruth Wang
33117667,p2128,a9037,D. Woodford
1694191,p2129,a9038,J. Hull
3028732,p2131,a9039,L. Laeven
3028732,p2167,a9039,L. Laeven
3028732,p2187,a9039,L. Laeven
3028732,p2238,a9039,L. Laeven
3028732,p2299,a9039,L. Laeven
9308929,p2131,a9040,Fabián Valencia
9308929,p2167,a9040,Fabián Valencia
9308929,p2187,a9040,Fabián Valencia
9308929,p2238,a9040,Fabián Valencia
9308929,p2299,a9040,Fabián Valencia
8407652,p2132,a9041,S. Kirklin
39280442,p2132,a9042,J. Saal
37451453,p2132,a9043,A. Thompson
1907763,p2132,a9044,J. Doak
7995028,p2132,a9045,Muratahan Aykol
2026178642,p2132,a9046,S. Ruhl
145432861,p2133,a9047,K. Hofmann
145432861,p2243,a9047,K. Hofmann
145432861,p2255,a9047,K. Hofmann
145432861,p2364,a9047,K. Hofmann
144349035,p2133,a9048,W. Stoffel
2144239945,p2135,a9049,Sangtae Kim
1763455,p2136,a9050,F. Burkhardt
2840105,p2136,a9051,A. Paeschke
104089060,p2136,a9052,M. Rolfes
2711349,p2136,a9053,W. Sendlmeier
35216383,p2136,a9054,Benjamin Weiss
2067071261,p2137,a9055,Terence Sim
2067071261,p2165,a9055,Terence Sim
3240967,p2137,a9056,Maan Bsat
3240967,p2165,a9056,Maan Bsat
3150523,p2138,a9057,J. Kattge
145741285,p2138,a9058,S. Díaz
4687927,p2138,a9059,S. Lavorel
51915849,p2138,a9060,I. Prentice
4856898,p2138,a9061,P. Leadley
6098953,p2138,a9062,G. Bönisch
144690078,p2138,a9063,E. Garnier
4547642,p2138,a9064,M. Westoby
2829427,p2138,a9065,P. Reich
1766605,p2138,a9066,I. Wright
143995477,p2138,a9067,J. Cornelissen
5419145,p2138,a9068,C. Violle
40334344,p2138,a9069,S. Harrison
7273324,p2138,a9070,P. V. van Bodegom
3224953,p2138,a9071,B. Enquist
113017769,p2138,a9072,N. A. Soudzilovskaia
2232699,p2138,a9073,D. Ackerly
145459348,p2138,a9074,M. Anand
5886162,p2138,a9075,O. Atkin
2428288,p2138,a9076,M. Bahn
40622085,p2138,a9077,T. Baker
3098010,p2138,a9078,D. Baldocchi
153436426,p2138,a9079,R. Bekker
48724230,p2138,a9080,C. Blanco
4756850,p2138,a9081,B. Blonder
143903401,p2138,a9082,W. Bond
2778704,p2138,a9083,R. Bradstock
5690742,p2138,a9084,D. Bunker
6782828,p2138,a9085,F. Casanoves
1398054936,p2138,a9086,J. Cavender-Bares
46601508,p2138,a9087,F. Chapin
2297173,p2138,a9088,J. Chave
2297173,p2471,a9088,J. Chave
3243360,p2138,a9089,D. Coomes
3243360,p2471,a9089,D. Coomes
3031444,p2138,a9090,W. Cornwell
3166884,p2138,a9091,J. Craine
32577003,p2138,a9092,B. Dobrin
2053955505,p2138,a9093,L. Duarte
143801495,p2138,a9094,W. Durka
2265657,p2138,a9095,J. Elser
102376403,p2138,a9096,G. Esser
92457648,p2138,a9097,M. Estiarte
143683588,p2138,a9098,W. Fagan
2107727651,p2138,a9099,J. Fang
1398490212,p2138,a9100,F. Fernandez-Mendez
144910931,p2138,a9101,A. Fidelis
49218094,p2138,a9102,B. Finegan
47996414,p2138,a9103,O. Flores
2054878348,p2138,a9104,H. Ford
37646231,p2138,a9105,D. Frank
6755255,p2138,a9106,G. T. Freschet
1441201089,p2138,a9107,N. M. Fyllas
4703963,p2138,a9108,R. Gallagher
90096292,p2138,a9109,W. Green
152729684,p2138,a9110,Á. Gutiérrez
3995829,p2138,a9111,T. Hickler
40512897,p2138,a9112,S. Higgins
145567711,p2138,a9113,A. Jalili
144476289,p2138,a9114,S. Jansen
144476289,p2471,a9114,S. Jansen
34863763,p2138,a9115,C. Joly
40229183,p2138,a9116,A. Kerkhoff
47951179,p2138,a9117,D. Kirkup
4486479,p2138,a9118,K. Kitajima
88684180,p2138,a9119,M. Kleyer
145743168,p2138,a9120,S. Klotz
2073490701,p2138,a9121,J. Knops
145128020,p2138,a9122,K. Kramer
39240989,p2138,a9123,I. Kühn
2356714,p2138,a9124,H. Kurokawa
3084356,p2138,a9125,D. Laughlin
2148788,p2138,a9126,T. Lee
4788636,p2138,a9127,M. Leishman
4309890,p2138,a9128,F. Lens
40800013,p2138,a9129,T. Lenz
3890299,p2138,a9130,S. Lewis
3890299,p2471,a9130,S. Lewis
2140837,p2138,a9131,J. Lloyd
6364523,p2138,a9132,J. Llusià
4883302,p2138,a9133,F. Louault
2115978949,p2138,a9134,S. Ma
3242915,p2138,a9135,M. Mahecha
115444519,p2138,a9136,P. Manning
4301568,p2138,a9137,T. Massad
4582588,p2138,a9138,B. Medlyn
47402644,p2138,a9139,J. Messier
152483579,p2138,a9140,A. Moles
12610357,p2138,a9141,S. Müller
2881745,p2138,a9142,K. Nadrowski
3559508,p2138,a9143,S. Naeem
4316676,p2138,a9144,Ü. Niinemets
103656018,p2138,a9145,S. Nöllert
2079237420,p2138,a9146,A. Nüske
4991294,p2138,a9147,R. Ogaya
5322133,p2138,a9148,J. Oleksyn
5283502,p2138,a9149,V. Onipchenko
5638423,p2138,a9150,Y. Onoda
27540187,p2138,a9151,J. Ordoñez
50232654,p2138,a9152,G. Overbeck
4949184,p2138,a9153,W. Ozinga
145774814,p2138,a9154,S. Patiño
40097048,p2138,a9155,S. Paula
3177876,p2138,a9156,J. Pausas
144287812,p2138,a9157,J. Peñuelas
31946163,p2138,a9158,O. Phillips
145500251,p2138,a9159,V. Pillar
6001758,p2138,a9160,Hendrik Poorter
7032753,p2138,a9161,L. Poorter
2794878,p2138,a9162,P. Poschlod
3681310,p2138,a9163,A. Prinzing
37704167,p2138,a9164,R. Proulx
4525403,p2138,a9165,A. Rammig
48793533,p2138,a9166,S. Reinsch
3464897,p2138,a9167,B. Reu
2874982,p2138,a9168,L. Sack
1401968126,p2138,a9169,B. Salgado‐Negret
89907775,p2138,a9170,J. Sardans
3310443,p2138,a9171,S. Shiodera
144752951,p2138,a9172,B. Shipley
16023799,p2138,a9173,A. Siefert
50280000,p2138,a9174,Ê. Sosinski
1957880,p2138,a9175,J. Soussana
32638588,p2138,a9176,E. Swaine
1801888,p2138,a9177,N. Swenson
1801888,p2471,a9177,N. Swenson
123928934,p2138,a9178,K. Thompson
2277213,p2138,a9179,P. Thornton
21828128,p2138,a9180,M. Waldram
4211509,p2138,a9181,E. Weiher
2113329742,p2138,a9182,S. White
2173329063,p2138,a9183,S. Wright
4092752,p2138,a9184,B. Yguel
4640770,p2138,a9185,S. Zaehle
4709209,p2138,a9186,A. Zanne
4709209,p2471,a9186,A. Zanne
50383246,p2138,a9187,C. Wirth
38844323,p2139,a9188,Matthew Waller
47487387,p2140,a9189,B. Lehner
2006599,p2140,a9190,P. Döll
2020036,p2141,a9191,T. Hrúz
1906320,p2141,a9192,Oliver Laule
145210177,p2141,a9193,Gábor Szabó
2134824,p2141,a9194,Frans Wessendorp
1806594,p2141,a9195,S. Bleuler
2982882,p2141,a9196,Lukas Oertle
1692856,p2141,a9197,P. Widmayer
2403092,p2144,a9198,M. Saier
2403092,p2251,a9198,M. Saier
2403092,p2481,a9198,M. Saier
145342608,p2144,a9199,V. Reddy
145342608,p2251,a9199,V. Reddy
3251207,p2144,a9200,Brian V. Tsu
2899949,p2144,a9201,"Muhammad Saad Ahmed, Ph.D."
1398978758,p2144,a9202,G. Moreno-Hagelsieb
144042512,p2145,a9203,J. Cherry
144042512,p2162,a9203,J. Cherry
144042512,p2358,a9203,J. Cherry
144042512,p2457,a9203,J. Cherry
2176094,p2145,a9204,E. Hong
3323244,p2145,a9205,C. Amundsen
3284230,p2145,a9206,G. Binkley
3284230,p2457,a9206,G. Binkley
34138468,p2145,a9207,Esther T. Chan
2931623,p2145,a9208,K. Christie
2931623,p2162,a9208,K. Christie
2931623,p2457,a9208,K. Christie
38859783,p2145,a9209,M. Costanzo
38859783,p2162,a9209,M. Costanzo
3242590,p2145,a9210,S. Dwight
3242590,p2162,a9210,S. Dwight
3242590,p2358,a9210,S. Dwight
3242590,p2457,a9210,S. Dwight
144525380,p2145,a9211,S. Engel
144525380,p2162,a9211,S. Engel
1984867,p2145,a9212,D. Fisk
1984867,p2162,a9212,D. Fisk
1984867,p2457,a9212,D. Fisk
2578936,p2145,a9213,B. Hitz
2565389,p2145,a9214,K. Karra
33526235,p2145,a9215,Cynthia J. Krieger
2122727,p2145,a9216,S. Miyasato
38455266,p2145,a9217,R. Nash
38455266,p2162,a9217,R. Nash
2115952574,p2145,a9218,Julie Park
2733892,p2145,a9219,M. Skrzypek
2223361,p2145,a9220,Matt Simison
2366373,p2145,a9221,S. Weng
2366373,p2358,a9221,S. Weng
2366373,p2457,a9221,S. Weng
7160599,p2145,a9222,E. Wong
2523183,p2146,a9223,K. Rosenbloom
2523183,p2172,a9223,K. Rosenbloom
2523183,p2188,a9223,K. Rosenbloom
2523183,p2195,a9223,K. Rosenbloom
2523183,p2228,a9223,K. Rosenbloom
2523183,p2254,a9223,K. Rosenbloom
2523183,p2294,a9223,K. Rosenbloom
2523183,p2340,a9223,K. Rosenbloom
37929439,p2146,a9224,J. Armstrong
34965960,p2146,a9225,G. Barber
34965960,p2172,a9225,G. Barber
34965960,p2188,a9225,G. Barber
34965960,p2195,a9225,G. Barber
34965960,p2228,a9225,G. Barber
34965960,p2254,a9225,G. Barber
34965960,p2294,a9225,G. Barber
34965960,p2340,a9225,G. Barber
2054480233,p2146,a9226,J. Casper
2054480233,p2172,a9226,J. Casper
2029732,p2146,a9227,H. Clawson
2029732,p2172,a9227,H. Clawson
2029732,p2188,a9227,H. Clawson
2029732,p2195,a9227,H. Clawson
2029732,p2228,a9227,H. Clawson
2029732,p2254,a9227,H. Clawson
2029732,p2294,a9227,H. Clawson
2029732,p2340,a9227,H. Clawson
2170555,p2146,a9228,T. Dreszer
2170555,p2172,a9228,T. Dreszer
2170555,p2195,a9228,T. Dreszer
2170555,p2228,a9228,T. Dreszer
2170555,p2254,a9228,T. Dreszer
2170555,p2294,a9228,T. Dreszer
2256824,p2146,a9229,P. Fujita
2256824,p2172,a9229,P. Fujita
2256824,p2195,a9229,P. Fujita
2256824,p2228,a9229,P. Fujita
2256824,p2254,a9229,P. Fujita
2256824,p2294,a9229,P. Fujita
3279928,p2146,a9230,L. Guruvadoo
3279928,p2172,a9230,L. Guruvadoo
3279928,p2228,a9230,L. Guruvadoo
3279928,p2254,a9230,L. Guruvadoo
48613597,p2146,a9231,M. Haeussler
48613597,p2172,a9231,M. Haeussler
48613597,p2228,a9231,M. Haeussler
1928061,p2146,a9232,R. Harte
1928061,p2172,a9232,R. Harte
1928061,p2188,a9232,R. Harte
1928061,p2195,a9232,R. Harte
1928061,p2228,a9232,R. Harte
1928061,p2254,a9232,R. Harte
1928061,p2294,a9232,R. Harte
1928061,p2340,a9232,R. Harte
116474129,p2146,a9233,S. Heitner
116474129,p2172,a9233,S. Heitner
116474129,p2228,a9233,S. Heitner
48182379,p2146,a9234,G. Hickey
2078340,p2146,a9235,R. Hubley
2078340,p2193,a9235,R. Hubley
2638089,p2146,a9236,K. Learned
2638089,p2172,a9236,K. Learned
2638089,p2195,a9236,K. Learned
2638089,p2228,a9236,K. Learned
2638089,p2254,a9236,K. Learned
2638089,p2294,a9236,K. Learned
2107499141,p2146,a9237,B. Lee
2143747384,p2146,a9238,C. H. Li
2096413759,p2146,a9239,K. Miga
114358390,p2146,a9240,N. Nguyen
2053144,p2146,a9241,B. Paten
3144427,p2146,a9242,B. Raney
3144427,p2172,a9242,B. Raney
3144427,p2188,a9242,B. Raney
3144427,p2195,a9242,B. Raney
3144427,p2228,a9242,B. Raney
3144427,p2254,a9242,B. Raney
3144427,p2294,a9242,B. Raney
3144427,p2340,a9242,B. Raney
34624894,p2146,a9243,A. Smit
34624894,p2193,a9243,A. Smit
2518811,p2146,a9244,M. Speir
2518811,p2172,a9244,M. Speir
49564559,p2146,a9245,A. Zweig
49564559,p2172,a9245,A. Zweig
49564559,p2188,a9245,A. Zweig
49564559,p2195,a9245,A. Zweig
49564559,p2228,a9245,A. Zweig
49564559,p2254,a9245,A. Zweig
49564559,p2294,a9245,A. Zweig
49564559,p2340,a9245,A. Zweig
7586694,p2146,a9246,R. Kuhn
7586694,p2172,a9246,R. Kuhn
7586694,p2188,a9246,R. Kuhn
7586694,p2195,a9246,R. Kuhn
7586694,p2228,a9246,R. Kuhn
7586694,p2254,a9246,R. Kuhn
7586694,p2294,a9246,R. Kuhn
7586694,p2340,a9246,R. Kuhn
66702547,p2147,a9247,I. Durre
50297170,p2147,a9248,B. Gleason
102742264,p2147,a9249,Tamara G. Houston
153314745,p2148,a9250,Ming-Syan Chen
144019071,p2148,a9251,Philip S. Yu
50784491,p2149,a9252,Ming Ying
49039791,p2149,a9253,Wei Zhang
51114361,p2149,a9254,Hui Yu
47062675,p2149,a9255,Xiaoqin Lu
2145121318,p2149,a9256,Jingxian Feng
2115434130,p2149,a9257,Yong-xiang Fan
102597472,p2149,a9258,Yongti Zhu
2111901707,p2149,a9259,D. Chen
2772248,p2150,a9260,J. Eng
2772248,p2330,a9260,J. Eng
15410408,p2150,a9261,Tahmina A. Jahan
35085876,p2150,a9262,M. Hoopmann
9309019,p2151,a9263,Huang Gao
6448642,p2152,a9264,A. Dotter
5300698,p2152,a9265,B. Chaboyer
33067502,p2152,a9266,D. Jevremović
103196729,p2152,a9267,V. Kostov
34953543,p2152,a9268,E. Baron
143999081,p2152,a9269,J. Ferguson
39700275,p2153,a9270,T. Mayer
104834503,p2153,a9271,Soledad Zignago
71785153,p2154,a9272,T. Ancheta
97425735,p2154,a9273,R. Darragh
97425735,p2407,a9273,R. Darragh
28099403,p2154,a9274,J. Stewart
97757311,p2154,a9275,E. Seyhan
39519812,p2154,a9276,B. Chiou
39519812,p2407,a9276,B. Chiou
71962257,p2154,a9277,K. Wooddell
66882887,p2154,a9278,R. Graves
70486494,p2154,a9279,A. Kottke
52040796,p2154,a9280,D. Boore
49248373,p2154,a9281,T. Kishida
97756181,p2154,a9282,J. Donahue
2267212,p2155,a9283,Juri Ganitkevitch
7536576,p2155,a9284,Benjamin Van Durme
1763608,p2155,a9285,Chris Callison-Burch
98874356,p2156,a9286,Usda Nrcs
2053448411,p2157,a9287,Luciana Ferrer
49504855,p2157,a9288,Hartmut Foerster
49504855,p2280,a9288,Hartmut Foerster
1942463,p2157,a9289,L. Mueller
1942463,p2280,a9289,L. Mueller
1942463,p2335,a9289,L. Mueller
40228600,p2157,a9290,Daniel S. Weaver
40228600,p2280,a9290,Daniel S. Weaver
