aUrlId,pId,aId,aName
6391996,p0,a0,E. Bolyen
6391996,p13,a0,E. Bolyen
6307534,p0,a1,J. Rideout
6307534,p13,a1,J. Rideout
40950692,p0,a2,Matthew R. Dillon
40950692,p13,a2,Matthew R. Dillon
4230536,p0,a3,N. Bokulich
4230536,p13,a3,N. Bokulich
5538503,p0,a4,C. Abnet
5538503,p13,a4,C. Abnet
1402012502,p0,a5,G. Al-Ghalith
1402012502,p13,a5,G. Al-Ghalith
39168440,p0,a6,Harriet Alexander
39168440,p13,a6,Harriet Alexander
39168440,p13,a6,Harriet Alexander
1777308,p0,a7,E. Alm
1777308,p13,a7,E. Alm
144893958,p0,a8,M. Arumugam
144893958,p13,a8,M. Arumugam
3088847,p0,a9,F. Asnicar
3088847,p13,a9,F. Asnicar
2115297093,p0,a10,Yang Bai
2115297093,p13,a10,Yang Bai
39497753,p0,a11,J. Bisanz
39497753,p13,a11,J. Bisanz
2027458,p0,a12,K. Bittinger
2027458,p13,a12,K. Bittinger
4347079,p0,a13,A. Brejnrod
4347079,p13,a13,A. Brejnrod
4373110,p0,a14,Colin J. Brislawn
4373110,p13,a14,Colin J. Brislawn
2107517217,p0,a15,C. T. Brown
2107517217,p13,a15,C. T. Brown
2107517217,p2039,a15,C. T. Brown
2923325,p0,a16,B. Callahan
2923325,p13,a16,B. Callahan
1401984320,p0,a17,A. Caraballo-Rodríguez
1401984320,p13,a17,A. Caraballo-Rodríguez
4011830,p0,a18,John H. Chase
4011830,p13,a18,John H. Chase
36248090,p0,a19,E. Cope
36248090,p13,a19,E. Cope
39269675,p0,a20,R. D. da Silva
48958834,p0,a21,C. Diener
2975900,p0,a22,P. Dorrestein
2975900,p13,a22,P. Dorrestein
144528092,p0,a23,G. Douglas
144528092,p13,a23,G. Douglas
5307931,p0,a24,D. Durall
5307931,p13,a24,D. Durall
32381467,p0,a25,C. Duvallet
32381467,p13,a25,C. Duvallet
31909725,p0,a26,C. Edwardson
31909725,p13,a26,C. Edwardson
144110054,p0,a27,Madeleine Ernst
144110054,p13,a27,Madeleine Ernst
6199292,p0,a28,M. Estaki
6199292,p13,a28,M. Estaki
4324350,p0,a29,J. Fouquier
4324350,p13,a29,J. Fouquier
147069795,p0,a30,J. Gauglitz
147069795,p13,a30,J. Gauglitz
6533031,p0,a31,S. Gibbons
32145672,p0,a32,D. Gibson
32145672,p13,a32,D. Gibson
144359100,p0,a33,Antonio Gonzalez
144359100,p13,a33,Antonio Gonzalez
84717638,p0,a34,Kestrel Gorlick
84717638,p13,a34,Kestrel Gorlick
5409083,p0,a35,Jiarong Guo
5409083,p13,a35,Jiarong Guo
32326419,p0,a36,Benjamin M Hillmann
32326419,p13,a36,Benjamin M Hillmann
32750186,p0,a37,S. Holmes
32750186,p13,a37,S. Holmes
51357334,p0,a38,H. Holste
51357334,p13,a38,H. Holste
2194791,p0,a39,C. Huttenhower
2194791,p13,a39,C. Huttenhower
2194791,p13,a39,C. Huttenhower
2194791,p1191,a39,C. Huttenhower
2306305,p0,a40,G. Huttley
2306305,p13,a40,G. Huttley
1938854376,p0,a41,Stefan Janssen
1938854376,p13,a41,Stefan Janssen
4376295,p0,a42,A. Jarmusch
4376295,p13,a42,A. Jarmusch
14215968,p0,a43,Lingjing Jiang
14215968,p13,a43,Lingjing Jiang
51396990,p0,a44,Benjamin D. Kaehler
51396990,p13,a44,Benjamin D. Kaehler
144664874,p0,a45,K. Kang
144664874,p13,a45,K. Kang
144664874,p13,a45,K. Kang
1410118534,p0,a46,Christopher R. Keefe
1410118534,p13,a46,Christopher R. Keefe
1978283,p0,a47,P. Keim
1978283,p13,a47,P. Keim
2654622,p0,a48,S. Kelley
2654622,p13,a48,S. Kelley
144064820,p0,a49,D. Knights
144064820,p13,a49,D. Knights
48888354,p0,a50,I. Koester
48888354,p13,a50,I. Koester
48888354,p13,a50,I. Koester
2395456,p0,a51,T. Kosciólek
2395456,p13,a51,T. Kosciólek
1410137287,p0,a52,Jorden Kreps
1410137287,p13,a52,Jorden Kreps
144015417,p0,a53,M. Langille
144015417,p13,a53,M. Langille
48174487,p0,a54,Joslynn S. Lee
48174487,p13,a54,Joslynn S. Lee
145061660,p0,a55,R. Ley
145061660,p13,a55,R. Ley
145061660,p13,a55,R. Ley
2186737813,p0,a56,Yong-xin Liu
2186737813,p13,a56,Yong-xin Liu
4244834,p0,a57,E. Loftfield
4244834,p13,a57,E. Loftfield
2345044,p0,a58,C. Lozupone
2345044,p13,a58,C. Lozupone
8504175,p0,a59,Massoud Maher
8504175,p13,a59,Massoud Maher
3968465,p0,a60,C. Marotz
3968465,p13,a60,C. Marotz
152943696,p0,a61,Bryan D. Martin
152943696,p13,a61,Bryan D. Martin
145345295,p0,a62,Daniel McDonald
145345295,p13,a62,Daniel McDonald
1854342,p0,a63,L. McIver
1854342,p13,a63,L. McIver
1854342,p13,a63,L. McIver
145073266,p0,a64,A. Melnik
145073266,p13,a64,A. Melnik
47746992,p0,a65,J. Metcalf
47746992,p13,a65,J. Metcalf
32552772,p0,a66,S. C. Morgan
32552772,p13,a66,S. C. Morgan
34024444,p0,a67,James T. Morton
34024444,p13,a67,James T. Morton
1410137379,p0,a68,Ahmad Turan Naimey
1410137379,p13,a68,Ahmad Turan Naimey
1401282143,p0,a69,Jose A. Navas-Molina
1401282143,p13,a69,Jose A. Navas-Molina
1401282143,p13,a69,Jose A. Navas-Molina
10790574,p0,a70,L. Nothias
10790574,p13,a70,L. Nothias
51403558,p0,a71,Stephanie B. Orchanian
51403558,p13,a71,Stephanie B. Orchanian
21366050,p0,a72,T. Pearson
21366050,p13,a72,T. Pearson
1414102859,p0,a73,Samuel L. Peoples
1414102859,p13,a73,Samuel L. Peoples
1414102859,p13,a73,Samuel L. Peoples
4019733,p0,a74,D. Petráš
4019733,p13,a74,D. Petráš
6845076,p0,a75,M. Preuss
6845076,p13,a75,M. Preuss
2079716,p0,a76,E. Pruesse
2079716,p13,a76,E. Pruesse
2079716,p2009,a76,E. Pruesse
84419869,p0,a77,Lasse Buur Rasmussen
84419869,p13,a77,Lasse Buur Rasmussen
6103924,p0,a78,A. Rivers
6103924,p13,a78,A. Rivers
31808306,p0,a79,M. Robeson
145394064,p0,a80,P. Rosenthal
145394064,p13,a80,P. Rosenthal
47429813,p0,a81,N. Segata
47429813,p13,a81,N. Segata
49576568,p0,a82,M. Shaffer
49576568,p13,a82,M. Shaffer
4379902,p0,a83,A. Shiffer
4379902,p13,a83,A. Shiffer
145604360,p0,a84,R. Sinha
145604360,p13,a84,R. Sinha
3931190,p0,a85,Se Jin Song
3931190,p13,a85,Se Jin Song
5725804,p0,a86,J. Spear
5725804,p13,a86,J. Spear
5084447,p0,a87,Austin D. Swafford
5084447,p13,a87,Austin D. Swafford
24195448,p0,a88,Luke R. Thompson
24195448,p13,a88,Luke R. Thompson
24195448,p13,a88,Luke R. Thompson
47263947,p0,a89,P. Torres
47263947,p13,a89,P. Torres
49368223,p0,a90,Pauline Trinh
49368223,p13,a90,Pauline Trinh
143863611,p0,a91,A. Tripathi
143863611,p13,a91,A. Tripathi
143863611,p13,a91,A. Tripathi
2404698,p0,a92,P. Turnbaugh
2404698,p13,a92,P. Turnbaugh
1404856444,p0,a93,Sabah Ul-Hasan
1404856444,p13,a93,Sabah Ul-Hasan
5460194,p0,a94,J. V. D. van der Hooft
123107351,p0,a95,Fernando Vargas
123107351,p13,a95,Fernando Vargas
1398440330,p0,a96,Y. Vázquez-Baeza
1398440330,p13,a96,Y. Vázquez-Baeza
6346734,p0,a97,E. Vogtmann
6346734,p13,a97,E. Vogtmann
150237239,p0,a98,Max von Hippel
47178580,p0,a99,William A. Walters
47178580,p13,a99,William A. Walters
38899048,p0,a100,Yunhu Wan
38899048,p13,a100,Yunhu Wan
1949898,p0,a101,Mingxun Wang
1949898,p13,a101,Mingxun Wang
50294532,p0,a102,Jonathan Warren
50294532,p13,a102,Jonathan Warren
51914702,p0,a103,Kyle C. Weber
51914702,p13,a103,Kyle C. Weber
51914702,p13,a103,Kyle C. Weber
36633883,p0,a104,C. H. Williamson
145511581,p0,a105,A. Willis
145511581,p13,a105,A. Willis
31733281,p0,a106,Z. Xu
31733281,p13,a106,Z. Xu
48348200,p0,a107,Jesse R. Zaneveld
48348200,p13,a107,Jesse R. Zaneveld
48380236,p0,a108,Yilong Zhang
48380236,p13,a108,Yilong Zhang
47713290,p0,a109,Qiyun Zhu
143939190,p0,a110,R. Knight
143939190,p13,a110,R. Knight
143865612,p0,a111,J. Caporaso
143865612,p13,a111,J. Caporaso
2660689,p1,a112,O. Papaspiliopoulos
1399205325,p2,a113,Fernando Martínez-Plumed
1572944977,p2,a114,Lidia Contreras-Ochando
1785006,p2,a115,C. Ferri
66969655,p2,a116,José Hernández Orallo
66368615,p2,a117,Meelis Kull
2605200,p2,a118,N. Lachiche
2065857867,p2,a119,M. J. R. Quintana
144474086,p2,a120,P. Flach
36743361,p3,a121,Dakuo Wang
36743361,p17,a121,Dakuo Wang
36743361,p39,a121,Dakuo Wang
36743361,p40,a121,Dakuo Wang
2055456335,p3,a122,Josh Andres
1927553,p3,a123,Justin D. Weisz
1927553,p40,a123,Justin D. Weisz
1506548883,p3,a124,Erick Oduor
2391727,p3,a125,Casey Dugan
2391727,p39,a125,Casey Dugan
2391727,p40,a125,Casey Dugan
3456687,p4,a126,Iqbal H. Sarker
3456687,p14,a126,Iqbal H. Sarker
145481009,p5,a127,G. Peyré
1711979,p5,a128,Marco Cuturi
2179772144,p6,a129,K. Sankar
2159759171,p7,a130,Mr. Vasudev Shahapur
2159757769,p7,a131,Amisha Shetty
2159757224,p7,a132,Chaitra P Shetty
2159757618,p7,a133,Gayathri
2159756362,p7,a134,Prathiksha Shetty
1399162888,p8,a135,David Lähnemann
46584000,p8,a136,J. Köster
46584000,p1012,a136,J. Köster
46584000,p1065,a136,J. Köster
46584000,p1498,a136,J. Köster
1713701,p8,a137,E. Szczurek
1947387,p8,a138,Davis J. McCarthy
35099275,p8,a139,S. Hicks
35099275,p175,a139,S. Hicks
144630231,p8,a140,M. Robinson
49688447,p8,a141,C. Vallejos
7993996,p8,a142,Kieran R. Campbell
2337683,p8,a143,N. Beerenwinkel
2337683,p47,a143,N. Beerenwinkel
2337683,p1086,a143,N. Beerenwinkel
2337683,p1126,a143,N. Beerenwinkel
143674431,p8,a144,A. Mahfouz
2566296,p8,a145,Luca Pinello
1731257,p8,a146,P. Skums
143958048,p8,a147,A. Stamatakis
2084557,p8,a148,Camille Stephan-Otto Attolini
144427183,p8,a149,Samuel Aparicio
3458428,p8,a150,J. Baaijens
15916544,p8,a151,M. Balvert
1382297839,p8,a152,B. D. Barbanson
50683764,p8,a153,A. Cappuccio
14872779,p8,a154,G. Corleone
1837495,p8,a155,B. Dutilh
1803797,p8,a156,M. Florescu
3110179,p8,a157,V. Guryev
144038008,p8,a158,Rens Holmer
46504181,p8,a159,Katharina Jahn
1381695766,p8,a160,Thamar Jessurun Lobo
121567631,p8,a161,Emma M. Keizer
40271958,p8,a162,Indu Khatri
2452575,p8,a163,S. Kiełbasa
144226508,p8,a164,J. Korbel
48086053,p8,a165,Alexey M. Kozlov
46848946,p8,a166,Tzu-Hao Kuo
1681016,p8,a167,B. Lelieveldt
1743075,p8,a168,I. Măndoiu
1743075,p1433,a168,I. Măndoiu
2552975,p8,a169,J. Marioni
1772268,p8,a170,T. Marschall
114702007,p8,a171,Felix Mölder
2508935,p8,a172,A. Niknejad
3430022,p8,a173,Lukasz Raczkowski
1681254,p8,a174,M. Reinders
143616731,p8,a175,J. Ridder
48468275,p8,a176,A. Saliba
1491611469,p8,a177,A. Somarakis
152423211,p8,a178,O. Stegle
2958299,p8,a179,Fabian J Theis
2155465038,p8,a180,Huan Yang
1720195,p8,a181,A. Zelikovsky
1720195,p1433,a181,A. Zelikovsky
2488686,p8,a182,A. Mchardy
35016672,p8,a183,Benjamin J. Raphael
1784749,p8,a184,S. Shah
1802591,p8,a185,A. Schönhuth
2155663674,p9,a186,ACM Data Science Task Force
145507543,p10,a187,Juan C. Caicedo
47348021,p10,a188,A. Goodman
8606450,p10,a189,Kyle W. Karhohs
6648707,p10,a190,B. Cimini
147015068,p10,a191,Jeanelle Ackerman
2057582064,p10,a192,Marzieh Haghighi
2030964,p10,a193,Cherkeng Heng
143934208,p10,a194,T. Becker
144810428,p10,a195,M. Doan
51043865,p10,a196,C. McQuin
2547227,p10,a197,M. Rohban
153203822,p10,a198,Shantanu Singh
1721012,p10,a199,Anne E Carpenter
1721012,p1424,a199,Anne E Carpenter
1690967,p11,a200,A. Blum
1706504,p11,a201,J. Hopcroft
144632403,p11,a202,R. Kannan
2092542,p12,a203,Valerio Grossi
1685102,p12,a204,F. Giannotti
1693341,p12,a205,D. Pedreschi
1799502,p12,a206,P. Manghi
1769599,p12,a207,P. Pagano
2671645,p12,a208,M. Assante
2126470942,p13,a209,R. R. Silva
2063775514,p13,a210,Ii Michael S Robeson
145910366,p13,a211,Justin J. J. van der Hooft
91066710,p13,a212,C. Williamson
144366819,p14,a213,A. Kayes
49696663,p14,a214,S. Badsha
15597895,p14,a215,Hamed Alqahtani
1682100,p14,a216,P. Watters
46201673,p14,a217,Alex Ng
24040678,p15,a218,S. Latif
143997402,p15,a219,Muhammad Usman
1483726395,p15,a220,Sanaullah Manzoor
14577774,p15,a221,Waleed Iqbal
1734917,p15,a222,Junaid Qadir
1749012,p15,a223,Gareth Tyson
2085689125,p15,a224,Ignacio Castro
1740639,p15,a225,A. Razi
49143963,p15,a226,M. Boulos
145689461,p15,a227,Adrian Weller
144334554,p15,a228,J. Crowcroft
2562040,p16,a229,S. Raschka
2055466552,p16,a230,Joshua Patterson
1491910676,p16,a231,Corey J. Nolet
144518215,p17,a232,Amy X. Zhang
1561777696,p17,a233,Michael J. Muller
1561777696,p40,a233,Michael J. Muller
134251468,p18,a234,K. Jablonka
17711197,p18,a235,D. Ongari
144683061,p18,a236,S. M. Moosavi
144189527,p18,a237,B. Smit
144189527,p379,a237,B. Smit
47557914,p19,a238,Yuxin Chen
1784472,p19,a239,Yuejie Chi
144958605,p19,a240,Jianqing Fan
144958605,p37,a240,Jianqing Fan
1995760767,p19,a241,Cong Ma
46867002,p20,a242,Yi Zhang
1804315,p20,a243,Z. Ives
145872183,p21,a244,Huadong Guo
145872183,p481,a244,Huadong Guo
1987744,p21,a245,S. Nativi
2087749667,p21,a246,Dong Liang
2196719,p21,a247,M. Craglia
2108594617,p21,a248,Lizhe Wang
1681824,p21,a249,S. Schade
1681824,p366,a249,S. Schade
2074418,p21,a250,C. Corbane
3327178,p21,a251,G. He
1981923,p21,a252,M. Pesaresi
46276515,p21,a253,Jianhui Li
23536395,p21,a254,Zeeshan Shirazi
2146650970,p21,a255,Jie Liu
12761970,p21,a256,A. Annoni
88817685,p22,a257,Saeed Nosratabadi
3081489,p22,a258,A. Mosavi
7817034,p22,a259,Puhong Duan
2370080,p22,a260,Pedram Ghamisi
29619587,p22,a261,Ferdinánd Filip
1955932190,p22,a262,S. Band
40534939,p22,a263,U. Reuter
143931014,p22,a264,João Gama
1764455,p22,a265,A. Gandomi
5446768,p23,a266,Somalee Datta
145882108,p23,a267,J. Posada
1587676605,p23,a268,Garrick Olson
2108689288,p23,a269,Wencheng Li
1500544912,p23,a270,Ciaran O'Reilly
2081591992,p23,a271,Deepa Balraj
15291510,p23,a272,Joseph Mesterhazy
1587802648,p23,a273,Joseph Pallas
2057113353,p23,a274,Priyamvada Desai
143665076,p23,a275,N. Shah
143665076,p1388,a275,N. Shah
1706010,p24,a276,C. Brunsdon
48982395,p24,a277,A. Comber
1783400,p25,a278,P. L. Combettes
1737505,p25,a279,J. Pesquet
1397958668,p26,a280,L. Maier-Hein
1397958668,p139,a280,L. Maier-Hein
1397958668,p154,a280,L. Maier-Hein
145472146,p26,a281,M. Wagner
145472146,p139,a281,M. Wagner
145472146,p154,a281,M. Wagner
118012992,p26,a282,T. Ross
47131776,p26,a283,Annika Reinke
2462340,p26,a284,S. Bodenstedt
93088018,p26,a285,Peter M. Full
1585780832,p26,a286,Hellena Hempe
65841662,p26,a287,D. Filimon
2062880835,p26,a288,Patrick Scholz
1585890027,p26,a289,T. N. Tran
51903792,p26,a290,Pierangela Bruno
1679990966,p26,a291,Anna Kisilenko
2067885689,p26,a292,Benjamin Müller
1679990969,p26,a293,Tornike Davitashvili
1679974988,p26,a294,Manuela Capek
14332753,p26,a295,M. Tizabi
33751657,p26,a296,M. Eisenmann
33751657,p139,a296,M. Eisenmann
33751657,p154,a296,M. Eisenmann
144784171,p26,a297,T. Adler
9587758,p26,a298,J. Gröhl
1680042085,p26,a299,Melanie Schellenberg
90487550,p26,a300,S. Seidlitz
2052777412,p26,a301,T. Y. E. Lai
1380212948,p26,a302,Veith Roethlingshoefer
32630778,p26,a303,Fabian Both
3070293,p26,a304,Sebastian Bittel
1679992383,p26,a305,M. Mengler
3452213,p26,a306,M. Apitz
47515221,p26,a307,S. Speidel
47515221,p139,a307,S. Speidel
47515221,p154,a307,S. Speidel
1711534,p26,a308,H. Kenngott
1711534,p139,a308,H. Kenngott
1711534,p154,a308,H. Kenngott
1390139613,p26,a309,B. Müller-Stich
31904485,p27,a310,Samir Passi
31904485,p52,a310,Samir Passi
31904485,p86,a310,Samir Passi
1771108,p27,a311,Phoebe Sengers
2441164,p28,a312,R. Irizarry
2441164,p175,a312,R. Irizarry
2441164,p1002,a312,R. Irizarry
2441164,p1043,a312,R. Irizarry
2148761004,p29,a313,Longbing Cao
2148761004,p31,a313,Longbing Cao
2148761004,p95,a313,Longbing Cao
2148761004,p110,a313,Longbing Cao
2148761004,p118,a313,Longbing Cao
2148761004,p203,a313,Longbing Cao
2148761004,p215,a313,Longbing Cao
5178086,p30,a314,A. Chiolero
144795713,p30,a315,D. Buckeridge
2630296,p32,a316,Sean Kross
2630296,p46,a316,Sean Kross
34814856,p32,a317,R. Peng
34814856,p228,a317,R. Peng
1886238,p32,a318,B. Caffo
23579626,p32,a319,Ira Gooding
46550919,p32,a320,J. Leek
1398914668,p33,a321,Mine Çetinkaya-Rundel
31453285,p33,a322,Victoria Ellison
3212908,p34,a323,Daniel L. Oberski
14024326,p35,a324,Fabian Ruehle
2061800818,p36,a325,Cecilia M. Aragon
2061800818,p189,a325,Cecilia M. Aragon
2345714,p36,a326,Shion Guha
33049547,p36,a327,M. Kogan
37998480,p36,a328,Gina Neff
37998480,p126,a328,Gina Neff
37998480,p189,a328,Gina Neff
51906013,p36,a329,Cathrine Seidelin
51906013,p80,a329,Cathrine Seidelin
3214594,p36,a330,Katie Shilton
10835407,p36,a331,A. Tanweer
10835407,p126,a331,A. Tanweer
1812881,p37,a332,Runze Li
153884534,p37,a333,Cun-Hui Zhang
48861660,p37,a334,H. Zou
145525190,p38,a335,J. Pei
145525190,p374,a335,J. Pei
73685318,p39,a336,Ingrid Lange
2752280,p39,a337,David Piorkowski
2052949,p39,a338,Jason Tsay
144921048,p39,a339,Q. Liao
32421869,p39,a340,T. Erickson
2944292,p40,a341,P. Ram
143774641,p40,a342,Werner Geyer
2411702,p40,a343,Y. Tausczik
1756353,p40,a344,Horst Samulowitz
2055386592,p40,a345,Alexander Gray
2737693,p41,a346,A. Berti
2775146,p41,a347,S. V. Zelst
145898058,p41,a348,Wil M.P. van der Aalst
145898058,p60,a348,Wil M.P. van der Aalst
145898058,p125,a348,Wil M.P. van der Aalst
145898058,p157,a348,Wil M.P. van der Aalst
145898058,p166,a348,Wil M.P. van der Aalst
145898058,p206,a348,Wil M.P. van der Aalst
145898058,p220,a348,Wil M.P. van der Aalst
3077876,p42,a349,Zeynep Engin
1761192,p42,a350,P. Treleaven
9147815,p43,a351,M. Alloghani
1398585056,p43,a352,D. Al-Jumeily
123894038,p43,a353,J. Mustafina
145463079,p43,a354,A. Hussain
2013933,p43,a355,A. Aljaaf
144923779,p44,a356,Bin Yu
47714322,p45,a357,J. Polonsky
6565832,p45,a358,A. Baidjoe
5365043,p45,a359,Z. Kamvar
2120479,p45,a360,A. Cori
39117790,p45,a361,K. Durski
47647620,p45,a362,W. Edmunds
4673329,p45,a363,R. Eggo
2262177,p45,a364,S. Funk
143836878,p45,a365,L. Kaiser
47508912,p45,a366,P. Keating
120918069,p45,a367,O. L. P. de Waroux
1615829619,p45,a368,M. Marks
46673132,p45,a369,P. Moraga
145026617,p45,a370,O. Morgan
2337651,p45,a371,P. Nouvellet
50272146,p45,a372,R. Ratnayake
6456015,p45,a373,C. Roberts
152646369,p45,a374,Jimmy Whitworth
2980450,p45,a375,T. Jombart
33270118,p46,a376,Philip J. Guo
145261717,p47,a377,H. Fröhlich
46916438,p47,a378,R. Balling
143998072,p47,a379,O. Kohlbacher
46574709,p47,a380,Santosh Kumar
49370597,p47,a381,Thomas Lengauer
49370597,p1266,a381,Thomas Lengauer
49370597,p1906,a381,Thomas Lengauer
1950729,p47,a382,M. Maathuis
1732750,p47,a383,Y. Moreau
1732750,p2051,a383,Y. Moreau
144180010,p47,a384,S. Murphy
1939433,p47,a385,T. Przytycka
2739468,p47,a386,M. Rebhan
144927159,p47,a387,H. Röst
145743805,p47,a388,A. Schuppert
145780106,p47,a389,M. Schwab
48692032,p47,a390,R. Spang
2225948,p47,a391,D. Stekhoven
2225948,p1086,a391,D. Stekhoven
49991208,p47,a392,Jimeng Sun
2068134753,p47,a393,A. Weber
2119112,p47,a394,D. Ziemek
1775384,p47,a395,B. Zupan
2027648,p48,a396,J. Saltz
2027648,p106,a396,J. Saltz
2027648,p113,a396,J. Saltz
2027648,p142,a396,J. Saltz
2027648,p165,a396,J. Saltz
2027648,p167,a396,J. Saltz
2027648,p176,a396,J. Saltz
2065605006,p48,a397,Neil I. Dewar
2065605006,p113,a397,Neil I. Dewar
83201140,p49,a398,Kevin M. Mendez
2313947,p49,a399,L. Pritchard
4114666,p49,a400,S. Reinke
49934155,p49,a401,D. Broadhurst
51208883,p50,a402,J. McPadden
48946116,p50,a403,T. Durant
5328311,p50,a404,D. Bunch
38385690,p50,a405,A. Coppi
144696683,p50,a406,Nathaniel Price
15671883,p50,a407,Kris Rodgerson
51219288,p50,a408,C. Torre
1412757151,p50,a409,William Byron
2474559,p50,a410,A. Hsiao
2467795,p50,a411,H. Krumholz
14677344,p50,a412,W. Schulz
1700173,p51,a413,G. Blair
144598189,p51,a414,P. Henrys
20520552,p51,a415,A. Leeson
49186479,p51,a416,J. Watkins
11805340,p51,a417,E. Eastoe
153809986,p51,a418,S. Jarvis
1922284334,p51,a419,P. Young
145262829,p52,a420,Melanie Feinberg
2055859311,p52,a421,Timothy George
1685522,p52,a422,S. Jackson
1685522,p86,a422,S. Jackson
1688844,p52,a423,Bonnie E. John
2874726,p52,a424,Mary Beth Kery
144333297,p53,a425,M. Nasution
1860635820,p53,a426,Opim Salim Sitompul
1885282835,p53,a427,Erna Budhiarti Nababan
1709392,p54,a428,D. Donoho
65991810,p55,a429,Alexandre Ribas Semeler
2082407039,p55,a430,Adilson Luiz Pinto
2085348595,p55,a431,Helen Beatriz Frota Rozados
40362338,p56,a432,M. Hernán
2072740070,p56,a433,J. Hsu
2411193,p56,a434,B. Healy
2631572,p57,a435,B. Daniel
152575374,p58,a436,Fábio C. P. Navarro
1699259,p58,a437,Hussein Mohsen
34764116,p58,a438,Chengfei Yan
3291146,p58,a439,Shantao Li
39345350,p58,a440,Mengting Gu
41219567,p58,a441,William U. Meyerson
1717018,p58,a442,M. Gerstein
1717018,p1304,a442,M. Gerstein
3277480,p59,a443,F. Archetti
48697039,p59,a444,Antonio Candelieri
47628266,p61,a445,F. Creutzig
9691982,p61,a446,S. Lohrey
48567420,p61,a447,X. Bai
144070372,p61,a448,A. Baklanov
144239097,p61,a449,R. Dawson
35792812,p61,a450,S. Dhakal
51297621,p61,a451,W. Lamb
3681654,p61,a452,T. McPhearson
70054515,p61,a453,J. Minx
2061038488,p61,a454,Esteban Muñoz
2051372542,p61,a455,Brenna Walsh
32826718,p62,a456,Henry E. Brady
66026904,p63,a457,鄭 躍軍
52419089,p63,a458,金 明哲
116695634,p63,a459,村上 征勝
48915850,p64,a460,Field Cady
48915850,p141,a460,Field Cady
144265063,p65,a461,E. Ford
2165530,p65,a462,A. Boyd
2165530,p100,a462,A. Boyd
15283050,p65,a463,J. Bowles
3365871,p65,a464,A. Havard
2303719,p65,a465,R. Aldridge
1778446,p65,a466,V. Curcin
1916040,p65,a467,M. Greiver
4165758,p65,a468,K. Harron
12440182,p65,a469,V. Katikireddi
2059877618,p65,a470,Sarah E. Rodgers
2715187,p65,a471,M. Sperrin
1403076106,p66,a472,Michelle Wilkerson
145750440,p66,a473,J. Polman
3240918,p67,a474,S. Dodge
4603017,p68,a475,Sudarshan A. Shetty
3294751,p68,a476,L. Lahti
3294751,p85,a476,L. Lahti
39908645,p69,a477,A. Singleton
1403960481,p69,a478,Daniel Arribas-Bel
50780388,p70,a479,Ruben Martins
2108199624,p70,a480,Jia Chen
2109196457,p70,a481,Yanju Chen
2150671055,p70,a482,Yu Feng
1714075,p70,a483,Işıl Dillig
3044529,p71,a484,Leo Liberti
1704242,p72,a485,Dirk P. Kroese
1929279,p72,a486,Z. Botev
1997850,p72,a487,T. Taimre
2168267,p72,a488,Radislav Vaisman
3209734,p73,a489,S. Virkus
3047640,p73,a490,E. Garoufallou
3355567,p74,a491,Donghui Yan
2064771791,p74,a492,Gary E. Davis
2525772,p75,a493,A. Danyluk
38959541,p75,a494,Paul M. Leidig
144761176,p75,a495,L. Cassel
3178042,p75,a496,C. Servin
2781539,p76,a497,F. Berman
1722400,p76,a498,Rob A. Rutenbar
2341622,p76,a499,B. Hailpern
2105998204,p76,a500,Henrik Christensen
49702692,p76,a501,S. Davidson
153468945,p76,a502,D. Estrin
101251726,p76,a503,Michael J. Franklin
1708269,p76,a504,M. Martonosi
2059337676,p76,a505,Padma Raghavan
2598812,p76,a506,V. Stodden
7934073,p76,a507,A. Szalay
7934073,p288,a507,A. Szalay
7934073,p429,a507,A. Szalay
49028813,p77,a508,L. Taylor
3473834,p77,a509,Nadezhda Purtova
2107976569,p78,a510,Gary Smith
1380506031,p78,a511,J. Cordes
48596333,p79,a512,J. Oliver
72466489,p79,a513,Chris Kollen
79734689,p79,a514,B. Hickson
144139288,p79,a515,F. Rios
144008442,p80,a516,Jonathan Bright
36838735,p80,a517,B. Ganesh
1445301871,p80,a518,Thomas M. Vogl
2424441,p81,a519,A. Ferguson
87122962,p82,a520,Ben Green
1746961,p83,a521,Tim Kraska
2548167,p84,a522,A. Karpatne
3119819,p84,a523,G. Atluri
1986735,p84,a524,James H. Faghmous
1986735,p229,a524,James H. Faghmous
1986735,p249,a524,James H. Faghmous
1707756,p84,a525,M. Steinbach
1707756,p249,a525,M. Steinbach
144205696,p84,a526,A. Banerjee
144205696,p249,a526,A. Banerjee
143669775,p84,a527,A. Ganguly
143669775,p249,a527,A. Ganguly
145072875,p84,a528,S. Shekhar
145072875,p170,a528,S. Shekhar
145072875,p249,a528,S. Shekhar
1726428,p84,a529,N. Samatova
1726428,p249,a529,N. Samatova
2107978833,p84,a530,Vipin Kumar
2107978833,p229,a530,Vipin Kumar
2107978833,p249,a530,Vipin Kumar
1684641,p87,a531,C. Weihs
2079028,p87,a532,K. Ickstadt
1401272901,p88,a533,L. Sanchez-Pinto
94936386,p88,a534,Yuan Luo
5095349,p88,a535,M. Churpek
113939582,p89,a536,A. Mikroyannidis
2073452805,p89,a537,John Domingue
2029147,p89,a538,Michelle Bachler
47203696,p89,a539,K. Quick
2110126297,p90,a540,Keisuke Takahashi
40445985,p90,a541,Lauren Takahashi
47328590,p90,a542,Itsuki Miyazato
2112766906,p90,a543,Yuzuru Tanaka
144336249,p91,a544,D. McQuillan
